Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GenRocket Integration,Chrome 111.0.0.0,,,2023-04-05 11:59:16,2023-04-05 12:00:00,43.477s,PASSED
,,,,,,,
Test Cases/Demo/TC01_with GenRocket Integration,Chrome 111.0.0.0,run terminal commands,,2023-04-05 11:59:17,2023-04-05 12:00:00,43.001s,PASSED
engine = new com.genRocket.engine.EngineManual(),Chrome 111.0.0.0,,,2023-04-05 11:59:17,2023-04-05 11:59:19,1.519s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.013s,PASSED
genrocketData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.003s,PASSED
jsonData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.003s,PASSED
"scenarioPath = ""/Users/sakthi/Desktop/GenRocket/home""",Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.000s,PASSED
"scenarioName = ""UserAccScenario.grs""",Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.001s,PASSED
"testDataSuiteName = ""TestDataCase.gtdc""",Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.000s,PASSED
"testDataCategoryName = ""System""",Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.000s,PASSED
"testDataCaseName = ""pwdGen""",Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.002s,PASSED
"genrocketDomain = ""UserAccounts""",Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.000s,PASSED
"fileSep = System.getProperty(""file.separator"")",Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.000s,PASSED
scenarioPathAndName = scenarioPath + fileSep + scenarioName,Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.002s,PASSED
testDataSuitePath = scenarioPath + fileSep + testDataSuiteName,Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:19,0.004s,PASSED
engine.scenarioLoad(scenarioPathAndName),Chrome 111.0.0.0,,,2023-04-05 11:59:19,2023-04-05 11:59:22,2.805s,PASSED
"engine.testDataCaseAdd(testDataSuitePath, testDataCategoryName, testDataCaseName, true, true, null, null)",Chrome 111.0.0.0,,,2023-04-05 11:59:22,2023-04-05 11:59:22,0.076s,PASSED
engine.applyGCases(),Chrome 111.0.0.0,,,2023-04-05 11:59:22,2023-04-05 11:59:22,0.195s,PASSED
genrocketData = engine.scenarioRunInMemory(genrocketDomain),Chrome 111.0.0.0,,,2023-04-05 11:59:22,2023-04-05 11:59:23,0.880s,PASSED
jsonData = JsonOutput.toJson(genrocketData),Chrome 111.0.0.0,,,2023-04-05 11:59:23,2023-04-05 11:59:23,0.015s,PASSED
jsonObject = jsonSlurper.parseText(jsonData),Chrome 111.0.0.0,,,2023-04-05 11:59:23,2023-04-05 11:59:23,0.002s,PASSED
for (def testData : jsonObject),Chrome 111.0.0.0,,,2023-04-05 11:59:23,2023-04-05 12:00:00,36.738s,PASSED
